ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000029786;ENSMUST00000098876	Mrpl9	"39S ribosomal protein L9, mitochondrial;MRP-L9;Putative uncharacterized protein"	"39S ribosomal protein L9, mitochondrial;Putative uncharacterized protein"	265	200962.92	69731.47	37.76	26.79
ENSMUST00000107280;ENSMUST00000007533;ENSMUST00000042477;ENSMUST00000100414;ENSMUST00000121331	Vps25;RP23-281C18.7-007;D11Wsu68e;RP23-281C18.7-003;RP23-281C18.7-004	Vacuolar protein sorting 25 (Yeast);Vacuolar protein-sorting-associated protein 25;ESCRT-II complex subunit VPS25	Vacuolar protein sorting 25;Isoform 1 of Vacuolar protein-sorting-associated protein 25;Vacuolar protein sorting 25;Isoform 2 of Vacuolar protein-sorting-associated protein 25;Vacuolar protein sorting 25	184	202157.84	230657.12	26.95	24.02
ENSMUST00000001547;ENSMUST00000107754	Col1a1;Cola1	Collagen alpha-1(I) chain;Alpha-1 type I collagen	Isoform 1 of Collagen alpha-1(I) chain;Isoform 2 of Collagen alpha-1(I) chain	1453	202419.83	348288.28	411.43	843.48
ENSMUST00000092430;ENSMUST00000105432	Tfam;Hmgts	"Transcription factor A, mitochondrial;Testis-specific high mobility group protein"	"Isoform Mitochondrial of Transcription factor A, mitochondrial;Isoform Nuclear of Transcription factor A, mitochondrial;23 kDa protein;17 kDa protein"	243	203091.01	136230.22	14.3	10.12
ENSMUST00000066438;ENSMUST00000098448;ENSMUST00000107723	Grwd1;A301	Glutamate-rich WD repeat-containing protein 1;Protein A301;Glutamate-rich WD repeat containing 1	Glutamate-rich WD repeat-containing protein 1;46 kDa protein;Glutamate-rich WD repeat containing 1	446	203182.79	329788.26	41.62	32.24
ENSMUST00000045247	Wdr18	WD repeat-containing protein 18	WD repeat-containing protein 18	431	203477.3	163377.81	17.14	12.63
ENSMUST00000025930	Smc3;Bam;Bmh;Cspg6;Mmip1;Smc3l1;Smcd	Structural maintenance of chromosomes protein 3;Chondroitin sulfate proteoglycan 6;Chromosome segregation protein SmcD;Basement membrane-associated chondroitin proteoglycan;Mad member-interacting protein 1	Structural maintenance of chromosomes protein 3	1217	203800.04	108059.74	24.31	27.04
ENSMUST00000066466;ENSMUST00000106396;ENSMUST00000106404;ENSMUST00000066452	Camk2d;Kiaa4163	Calcium/calmodulin-dependent protein kinase type II delta chain;Putative uncharacterized protein	Isoform 4 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform 1 of Calcium/calmodulin-dependent protein kinase type II subunit delta;calcium/calmodulin-	533	203839.68	321123.56	15.85	19.77
ENSMUST00000017458;ENSMUST00000100398	Mpp2;Dlgh2	MAGUK p55 subfamily member 2;Protein MPP2;Dlgh2 protein	Isoform 2 of MAGUK p55 subfamily member 2;Isoform 1 of MAGUK p55 subfamily member 2	569	204699.35	182444.71	1.36	2.59
ENSMUST00000027494	Ppp1r7;Sds22	Protein phosphatase 1 regulatory subunit 7;Protein phosphatase 1 regulatory subunit 22	Protein phosphatase 1 regulatory subunit 7	361	204699.88	327567.3	9.01	7.62
ENSMUST00000035055;ENSMUST00000065171;ENSMUST00000072772	Map4;Mtap4	Microtubule-associated protein 4	Isoform 1 of Microtubule-associated protein 4;microtubule-associated protein 4;Isoform 3 of Microtubule-associated protein 4	1125	204711.02	243009.67	28.05	22.55
ENSMUST00000033875;ENSMUST00000098851	Prosc	Putative uncharacterized protein;Proline synthetase co-transcribed bacterial homolog protein;Proline synthetase co-transcribed	Putative uncharacterized protein;Proline synthetase co-transcribed bacterial homolog protein;proline synthetase co-transcribed isoform c;proline synthetase co-transcribed isoform b	326	205443.69	119501.01	8.67	6.9
ENSMUST00000088194	Ndufa9;mCG_129735	"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 9;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial;NADH-ubiquinone oxidoreductase 39 kDa subunit;Complex I-39kD"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9 precursor;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"	377	205669.73	238615.94	50.36	37.21
ENSMUST00000027193	Ndufb3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3;NADH-ubiquinone oxidoreductase B12 subunit;Complex I-B12	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	104	205944.13	111568.27	38.87	25.29
ENSMUST00000004574	Dnajb11	DnaJ homolog subfamily B member 11;ER-associated dnaJ protein 3;ERj3p;ERdj3;ER-associated Hsp40 co-chaperone;ER-associated DNAJ;APOBEC1-binding protein 2	DnaJ homolog subfamily B member 11	358	206316.07	226497.38	16.07	16.59
ENSMUST00000065515;ENSMUST00000023440;ENSMUST00000121554	Tfg;RP23-178N11.4-003;RP23-178N11.4-005;mCG_130891;RP23-178N11.4-004;RP23-178N11.4-002;RP23-178N11.4-006	Putative uncharacterized protein;Trk-fused gene;Trk-fused	Trk-fused;Trk-fused;Trk-fused;Trk-fused gene;Trk-fused gene;Trk-fused gene	397	206517.08	239310.94	27.41	26.46
ENSMUST00000004990;ENSMUST00000062694;ENSMUST00000114757;ENSMUST00000114758	Mapk14;Crk1;Csbp1;Csbp2;RP24-137E7.1-006	Mitogen-activated protein kinase 14;Mitogen-activated protein kinase p38 alpha;CRK1;Mitogen activated protein kinase 14	Isoform 1 of Mitogen-activated protein kinase 14;Isoform 3 of Mitogen-activated protein kinase 14;Isoform 4 of Mitogen-activated protein kinase 14;Mitogen activated protein kinase 14;Mitogen activated protein kinase 14	360	206747.34	175469.04	21.52	19.36
ENSMUST00000036928	Ephx1;Eph1;mCG_19843	"Epoxide hydrolase 1, microsomal;Microsomal epoxide hydrolase;Epoxide hydrolase 1, microsomal, isoform CRA_c;Epoxide hydrolase 1;Epoxide hydratase"	"Epoxide hydrolase 1, microsomal, isoform CRA_c;Epoxide hydrolase 1;51 kDa protein"	455	206859.64	587079.56	20.73	27.21
ENSMUST00000030563;ENSMUST00000118199	Pef1	Peflin;PEF protein with a long N-terminal hydrophobic domain;Penta-EF hand domain-containing protein 1	Peflin	275	207382.49	282337.43	15.74	15.58
ENSMUST00000005750;ENSMUST00000106666	Eif4g2;Nat1	Eukaryotic translation initiation factor 4 gamma 2;p97;Novel APOBEC-1 target 1;Translation repressor NAT1	"eukaryotic translation initiation factor 4, gamma 2 isoform 1;Isoform 1 of Eukaryotic translation initiation factor 4 gamma 2;eukaryotic translation initiation factor 4, gamma 2 isoform 2"	906	207483.94	310374.93	119.05	110.63
ENSMUST00000024909	Ndufv2	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;NADH-ubiquinone oxidoreductase 24 kDa subunit"	"Isoform 1 of NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"	248	207550.55	174508.39	28.01	23.41
ENSMUST00000069747	ORF3	UPF0480 protein C15orf24 homolog	UPF0480 protein C15orf24 homolog	241	207877.43	154899.15	39.05	32.29
ENSMUST00000101087;ENSMUST00000120550	Srp72	Srp72 protein;Putative uncharacterized protein	signal recognition particle 72;Putative uncharacterized protein	671	208032.1	195683.12	30.73	24.66
ENSMUST00000032882	Ndufc2	NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH-ubiquinone oxidoreductase subunit B14.5b;Complex I-B14.5b;Putative uncharacterized protein	NADH dehydrogenase [ubiquinone] 1 subunit C2;Putative uncharacterized protein	120	208165.66	150411.17	43	48.89
ENSMUST00000031355;ENSMUST00000097035	Uso1;Vdp	General vesicular transport factor p115;Protein USO1 homolog;Transcytosis-associated protein;Vesicle-docking protein	Isoform 1 of General vesicular transport factor p115;Isoform 2 of General vesicular transport factor p115	959	208682.45	286751.76	42.07	41.23
ENSMUST00000028463;ENSMUST00000077798	Ssrp1;RP23-232L15.5-002	FACT complex subunit SSRP1;Facilitates chromatin transcription complex subunit SSRP1;Structure-specific recognition protein 1;Recombination signal sequence recognition protein 1;T160;Structure specific recognition protein 1	Isoform 2 of FACT complex subunit SSRP1;81 kDa protein;Isoform 1 of FACT complex subunit SSRP1;Structure specific recognition protein 1	713	208723.87	220138.44	118.96	92.75
ENSMUST00000030399;ENSMUST00000029946;ENSMUST00000098190	Rragc;Rragd;Ragd;RP23-360H6.3-001;mCG_12768	"Ras-related GTP-binding protein C;GTPase-interacting protein 2;TIB929;Ras-related GTP-binding protein D;Ras-related GTP binding D;Ras-related GTP binding D, isoform CRA_a"	Isoform 1 of Ras-related GTP-binding protein C;Ras-related GTP binding D;Ras-related GTP binding D	398	209923.8	123541.8	30.49	25.12
ENSMUST00000034524	Rexo2;Smfn	"Oligoribonuclease, mitochondrial;Small fragment nuclease;RNA exonuclease 2 homolog"	"Oligoribonuclease, mitochondrial (Fragment)"	237	210680.36	169285.12	36.27	32
ENSMUST00000087514;ENSMUST00000114106	Lyar	Cell growth-regulating nucleolar protein	Cell growth-regulating nucleolar protein	388	210834.33	101812.41	46.4	34.12
ENSMUST00000025836	Mrpl11	"39S ribosomal protein L11, mitochondrial"	"39S ribosomal protein L11, mitochondrial"	192	211350.15	112615.44	21.72	28.71
ENSMUST00000000001	Gnai3	Guanine nucleotide-binding protein G(k) subunit alpha;G(i) alpha-3	Guanine nucleotide-binding protein G(k) subunit alpha	354	211470.37	275247.79	48.45	33.5
ENSMUST00000085375;ENSMUST00000107811;ENSMUST00000107813	Pih1d1;Nop17	PIH1 domain-containing protein 1;Nucleolar protein 17 homolog	PIH1 domain-containing protein 1	290	212450.7	96632.34	21.58	16.8
ENSMUST00000040202	Atxn2l;A2lp	Ataxin-2-like protein	Isoform 2 of Ataxin-2-like protein;Isoform 3 of Ataxin-2-like protein;Isoform 1 of Ataxin-2-like protein	1074	212460.03	114363.34	46.22	48.39
ENSMUST00000026461	Prim1	DNA primase small subunit;DNA primase 49 kDa subunit	DNA primase small subunit	417	212797.81	104921.77	41.7	28.6
ENSMUST00000030400;ENSMUST00000106202	Mycbp;RP23-29H22.2-002;Amy1	Putative uncharacterized protein;C-myc binding protein;C-Myc-binding protein;Associate of Myc 1	Putative uncharacterized protein;C-myc binding protein;C-Myc-binding protein	103	213727.44	96441.1	8.73	6.92
ENSMUST00000038379	Cpsf7	Cleavage and polyadenylation specificity factor subunit 7	Isoform 1 of Cleavage and polyadenylation specificity factor subunit 7;Isoform 2 of Cleavage and polyadenylation specificity factor subunit 7	471	214235.21	82000.67	23.23	27.2
ENSMUST00000020203	Snrpf	Small nuclear ribonucleoprotein F	Small nuclear ribonucleoprotein F	86	214781.8	308614.16	17.22	6.14
ENSMUST00000028909;ENSMUST00000110030	Snx5	Sorting nexin-5	Sorting nexin-5	404	215038.97	97429.2	43.36	30.03
ENSMUST00000042055;ENSMUST00000113603;ENSMUST00000113601	Ppp2r4;Ptpa;RP23-399D3.1-002;RP23-399D3.1-003	"Serine/threonine-protein phosphatase 2A regulatory subunit B';PP2A, subunit B', PR53 isoform;Phosphotyrosyl phosphatase activator;Protein phosphatase 2A regulatory subunit B (PR 53)"	Serine/threonine-protein phosphatase 2A regulatory subunit B';Protein phosphatase 2A regulatory subunit B;Protein phosphatase 2A regulatory subunit B	323	215743.45	310862.28	47.71	40.16
ENSMUST00000043865;ENSMUST00000100475	Mpst	Putative uncharacterized protein;3-mercaptopyruvate sulfurtransferase	3-mercaptopyruvate sulfurtransferase;3-mercaptopyruvate sulfurtransferase	297	215877.34	253954.14	6.83	6.87
ENSMUST00000097473	Tmco1	Putative uncharacterized protein;Transmembrane and coiled-coil domain-containing protein 1	Putative uncharacterized protein (Fragment);Transmembrane and coiled-coil domain-containing protein 1	200	217024.78	293067.45	8.35	6.04
ENSMUST00000103075	Nsf;Skd2	Vesicle-fusing ATPase;N-ethylmaleimide-sensitive fusion protein;Vesicular-fusion protein NSF;Suppressor of K(+) transport growth defect 2	Vesicle-fusing ATPase;83 kDa protein	744	217968.18	207079.36	22.86	23.3
ENSMUST00000022815	Ngdn;Ngd	Neuroguidin;EIF4E-binding protein	Neuroguidin	315	218438.03	143457.8	14.78	16.06
ENSMUST00000038570;ENSMUST00000093370;ENSMUST00000093371	Nipsnap1;RP23-64E17.1-003	Protein NipSnap homolog 1;4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans)	Protein NipSnap homolog 1;4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1	284	218678.46	155792.72	11.33	8.06
ENSMUST00000052068	Rbp1;Crbpi;Rbp-1	Retinol-binding protein 1;Cellular retinol-binding protein I;Cellular retinol-binding protein	Retinol-binding protein 1	135	218833.81	311377.93	5.62	11.41
ENSMUST00000008893	Coro1b	Coronin-1B;Coronin-2	Coronin-1B	484	219816.99	186814.05	45.83	60.89
ENSMUST00000088922	Gtf2f2	General transcription factor IIF subunit 2;Transcription initiation factor IIF subunit beta;ATP-dependent helicase GTF2F2	General transcription factor IIF subunit 2	249	219941.4	56594.22	9.92	10.9
ENSMUST00000030340	Scp2;Scp-2	Non-specific lipid-transfer protein;Propanoyl-CoA C-acyltransferase;NSL-TP;Sterol carrier protein 2;Sterol carrier protein X;SCP-chi;SCPX	Isoform SCPx of Non-specific lipid-transfer protein;Isoform SCP2 of Non-specific lipid-transfer protein	547	220034.25	128717.54	8.51	10.28
ENSMUST00000001825	Chordc1;Chp1	Cysteine and histidine-rich domain-containing protein 1;CHORD domain-containing protein 1	Cysteine and histidine-rich domain-containing protein 1	331	220435.16	149000.44	17.83	19.06
ENSMUST00000020463	Ncln	Nicalin;Nicastrin-like protein	Nicalin;63 kDa protein	563	220681.98	162534.87	72.09	52.64
ENSMUST00000019974	Rab32	Ras-related protein Rab-32	Ras-related protein Rab-32	223	221230.62	120617.76	8.93	11.58
ENSMUST00000044200	Nop2;Nol1	Putative ribosomal RNA methyltransferase NOP2;Nucleolar protein 2 homolog;Nucleolar protein 1;Proliferating-cell nucleolar antigen p120;Proliferation-associated nucleolar protein p120	nucleolar protein 1	794	221725.12	226553.04	54.95	49.73
ENSMUST00000109607;ENSMUST00000109608;ENSMUST00000079312	Cpne1;RP23-220D12.6-008;RP23-220D12.6-005;RP23-220D12.6-010;RP23-220D12.6-013;RP23-220D12.6-011	Copine-1;Copine I	Copine-1;Copine I;Copine I;39 kDa protein;Copine I;Copine I;Copine I	536	222022.79	344433.09	21.88	20.07
ENSMUST00000025250;ENSMUST00000087274	Bat3	Large proline-rich protein BAT3;HLA-B-associated transcript 3;Putative uncharacterized protein	Large proline-rich protein BAT3;Putative uncharacterized protein (Fragment)	1154	222298.94	158327.17	48.02	55.72
ENSMUST00000077083;ENSMUST00000108086	Hspa4l;Apg1;Hsp4l;Osp94	Heat shock 70 kDa protein 4L;Osmotic stress protein 94;Heat shock 70-related protein APG-1	Isoform 1 of Heat shock 70 kDa protein 4L;Isoform 2 of Heat shock 70 kDa protein 4L;64 kDa protein	838	222657.66	379900.04	29.94	50.52
ENSMUST00000031445	Aacs	Acetoacetyl-CoA synthetase	Acetoacetyl-CoA synthetase	672	223568.41	274047.01	22.01	15.3
ENSMUST00000019576;ENSMUST00000109810;ENSMUST00000116451	Ddx39	ATP-dependent RNA helicase DDX39;DEAD box protein 39	Isoform 1 of ATP-dependent RNA helicase DDX39	427	224223.38	232033.43	59.99	34.22
ENSMUST00000086461	Rfc5	Replication factor C subunit 5;Activator 1 subunit 5;Replication factor C 36 kDa subunit;Activator 1 36 kDa subunit;Rfc5 protein	Replication factor C subunit 5;Rfc5 protein (Fragment)	339	224448.37	255453.72	35.1	23.3
ENSMUST00000045602	Ndufb10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;NADH-ubiquinone oxidoreductase PDSW subunit;Complex I-PDSW	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;18 kDa protein	176	224472.19	303678.98	79.36	56.75
ENSMUST00000061437;ENSMUST00000040492	Adrm1;Gp110	Proteasomal ubiquitin receptor ADRM1;Adhesion-regulating molecule 1;110 kDa cell membrane glycoprotein;Rpn13 homolog;Adrm1 protein	Proteasomal ubiquitin receptor ADRM1;similar to Adhesion regulating molecule 1 isoform 1;similar to Adhesion regulating molecule 1 isoform 2;Adrm1 protein;33 kDa protein	407	224506.83	465414.17	63.71	63.57
ENSMUST00000045191;ENSMUST00000115021;ENSMUST00000115025	Cald1	Putative uncharacterized protein	caldesmon 1;62 kDa protein;62 kDa protein;63 kDa protein	530	225736.21	101618.86	160.34	170.77
ENSMUST00000098990;ENSMUST00000107687	Arfip1	Arfip1 protein	ADP-ribosylation factor interacting protein 1;41 kDa protein;Arfip1 protein;29 kDa protein	373	225857.13	174183.79	12.6	14.13
ENSMUST00000020886	Nampt;Pbef1	Nicotinamide phosphoribosyltransferase;Pre-B-cell colony-enhancing factor 1 homolog;Visfatin	Nicotinamide phosphoribosyltransferase	491	225883.35	374533.84	11.06	9.41
ENSMUST00000053265	Lyrm4	LYR motif-containing protein 4	LYR motif-containing protein 4	91	225977.4	73263.01	2.77	2.63
ENSMUST00000024734	Mrpl14	"39S ribosomal protein L14, mitochondrial"	"39S ribosomal protein L14, mitochondrial"	145	226273.04	60347.3	42.63	44.01
ENSMUST00000102646;ENSMUST00000102647;ENSMUST00000117299	Selh	Selenoprotein H	Selenoprotein H	116	226352.22	95824.53	83.01	51.99
ENSMUST00000054626;ENSMUST00000092096;ENSMUST00000116669	Usp14	Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin thioesterase 14;Ubiquitin-specific-processing protease 14;Deubiquitinating enzyme 14;Putative uncharacterized protein	Ubiquitin carboxyl-terminal hydrolase 14;ubiquitin specific protease 14 isoform 2	493	226651.55	243707.39	17.36	14.1
ENSMUST00000078803	Vps28	Vacuolar protein sorting-associated protein 28 homolog;ESCRT-I complex subunit VPS28;Caspase-activated DNase inhibitor that interacts with ASK1	Vacuolar protein sorting-associated protein 28 homolog	221	227147.65	165584.24	60.65	56.58
ENSMUST00000016105	Adss;Adss2	"Adenylosuccinate synthetase isozyme 2;Adenylosuccinate synthetase, non-muscle isozyme;Adenylosuccinate synthetase, acidic isozyme;IMP--aspartate ligase 2"	Adenylosuccinate synthetase isozyme 2	456	227500.44	715475.44	27.44	22.29
ENSMUST00000027973;ENSMUST00000115019	Sephs1;Sps1	"Selenide, water dikinase 1;Selenophosphate synthetase 1;Selenium donor protein 1"	"Selenide, water dikinase 1"	392	227655.47	270295.67	8.78	9.63
ENSMUST00000002445	Ranbp3	Ran-binding protein 3	Ran-binding protein 3;52 kDa protein	491	227664.83	118810.57	37.82	38.25
ENSMUST00000015950	Qdpr;Dhpr	Dihydropteridine reductase;HDHPR;Quinoid dihydropteridine reductase	Dihydropteridine reductase;20 kDa protein;17 kDa protein;15 kDa protein	241	228074.38	208671.73	25.04	16.54
ENSMUST00000023869	Denr	Density-regulated protein	Density-regulated protein	198	228146.14	243881.32	57.32	55.66
ENSMUST00000027173;ENSMUST00000117438;ENSMUST00000122038	Wdr12;MNCb-5414	Ribosome biogenesis protein WDR12;WD repeat-containing protein 12	Ribosome biogenesis protein WDR12	423	228230.87	457709.31	14.46	9.14
ENSMUST00000020538;ENSMUST00000102869;ENSMUST00000102870;ENSMUST00000109551	Xpo1;Crm1	Exportin-1;Chromosome region maintenance 1 protein homolog	Exportin-1	1071	228505.75	725173.58	34.15	27.95
ENSMUST00000032220;ENSMUST00000112438;ENSMUST00000112439	Cops7a;Csn7a	COP9 signalosome complex subunit 7a;JAB1-containing signalosome subunit 7a	Isoform 2 of COP9 signalosome complex subunit 7a;Isoform 1 of COP9 signalosome complex subunit 7a;25 kDa protein;20 kDa protein	277	228635.62	289239.69	34.6	27.28
ENSMUST00000066668;ENSMUST00000113605	Dnpep;mCG_133858	"Aspartyl aminopeptidase;Dnpep protein;Putative uncharacterized protein;Aspartyl aminopeptidase, isoform CRA_a"	aspartyl aminopeptidase isoform a;aspartyl aminopeptidase isoform b	475	228720.48	539439.93	12.97	15.42
ENSMUST00000114575;ENSMUST00000114576	Vma21	Vacuolar ATPase assembly integral membrane protein VMA21	Isoform 1 of Vacuolar ATPase assembly integral membrane protein VMA21;15 kDa protein;similar to RIKEN cDNA 2610030H06 gene;Isoform 2 of Vacuolar ATPase assembly integral membrane protein VMA21	101	231391.09	189298.62	7.61	5.66
